Grand Jaggi;150;1;20;1;45;62;45;16;1
Grand Jagras;150;18;20;2;45;62;45;18;1
Rathalos;150;28;20;5;45;62;45;32;1
Rathian;150;38;20;10;45;62;45;42;1
Lagiacrus;150;458;20;15;45;62;45;21;1
Astalos;150;8;20;20;45;62;45;30;1
Mizutsune;150;128;20;25;45;62;45;20;1
Glavenus;150;1458;20;30;45;62;45;16;1
Brachydios;150;1178;20;35;45;62;45;18;1
Teostra;150;028;20;40;45;62;45;54;1
Kushala Daora;150;988;20;45;45;62;45;12;2
Rajang;150;7578;20;50;45;62;45;90;1
Rajang Orage;150;0028;20;55;45;62;45;51;1
Alatreon;150;28788;20;36;60;62;45;20;1
Fatalis;150;1238;20;65;45;62;45;78;1
